pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
1.11822,0.303743;10.0,1.18182,10.0,0.469152,0.1,0.268732,2.23807,10.0,9.16878,0.114639
1.12341,0.301547;10.0,1.18182,7.81539,0.1,0.1,0.1,2.23807,10.0,10.0,0.1
1.1278,0.30426;10.0,0.70768,2.8655,0.1,0.1,10.0,0.165635,0.1,10.0,0.1
1.13368,0.30124;10.0,1.39569,0.233363,10.0,0.1,4.35605,0.823278,0.1,10.0,0.1
1.13835,0.303995;10.0,1.39569,0.15313,10.0,0.1,4.35605,0.823278,0.10871,10.0,0.1
1.142,0.304359;0.798462,0.357661,0.1,0.1,6.94618,10.0,0.244024,0.149808,1.0342,0.1
1.14889,0.30344;10.0,0.783611,3.09763,1.84401,0.572267,10.0,0.1,0.189347,10.0,0.129016
1.15502,0.301054;10.0,0.783611,3.09763,1.84401,0.572267,10.0,0.1,0.189347,10.0,0.1
1.15634,0.304987;10.0,0.783611,3.09763,1.54794,0.1,10.0,0.178765,0.126435,10.0,0.1
1.16234,0.303925;1.42093,0.1,0.215729,1.47795,0.1,0.112748,0.104729,3.24251,8.44712,0.24713
1.16615,0.302405;10.0,0.846135,2.62557,0.959051,0.1,10.0,0.241698,0.106395,10.0,0.1
1.17511,0.301955;10.0,1.59093,0.128865,10.0,0.294859,10.0,10.0,0.113208,10.0,0.1
1.17602,0.300377;1.42093,0.1,0.215729,1.47795,0.1,0.132604,0.1,3.24251,8.44712,0.186248
1.18295,0.300429;0.961313,0.1,0.244776,0.1,0.37306,0.186635,0.1,4.26781,10.0,0.1
1.18596,0.304747;0.961313,0.1,0.1,0.1,0.37306,0.1,0.1,4.26781,10.0,0.1
1.19047,0.304216;9.29482,0.908595,2.49768,1.15976,0.1,10.0,0.317664,0.1,10.0,0.1
1.19483,0.303898;10.0,1.02689,1.45123,0.1,0.257549,10.0,0.1,0.1,10.0,0.1
1.20256,0.304071;10.0,1.00847,0.1,0.76014,0.221278,0.1,0.1,7.14088,10.0,0.1
1.20493,0.303629;4.14908,0.594027,0.362996,0.203058,0.547829,1.29559,7.26933,10.0,10.0,0.1
1.21549,0.302099;9.12496,10.0,0.1,2.70154,10.0,10.0,0.1,3.91577,0.180867,0.1
1.21853,0.301561;10.0,1.00847,0.166867,1.07201,0.1,0.1,0.1,7.14088,10.0,0.1
1.22301,0.30345;10.0,1.80093,10.0,0.263375,1.5725,6.70572,2.5529,10.0,10.0,0.1
1.23024,0.303469;10.0,1.74637,0.654055,0.1,0.489411,10.0,2.05913,0.219548,7.11808,0.39465
1.23372,0.301523;10.0,1.20588,0.569906,0.1,0.243007,10.0,0.483231,0.1,10.0,0.110113
1.23799,0.302352;10.0,1.74637,0.1,0.258621,0.939157,10.0,0.1,0.1,10.0,0.638314
1.23994,0.303136;10.0,1.74637,0.318783,0.349054,0.308504,10.0,0.607203,0.1,10.0,0.638314
1.24925,0.302036;1.17997,0.1,0.1,0.886281,0.37306,0.214609,0.1,4.26781,10.0,0.1
1.25361,0.301427;10.0,1.80361,0.1,9.86971,0.1,0.196626,0.221219,5.55649,10.0,0.319997
1.25539,0.304155;10.0,2.20903,0.761699,0.1,0.12543,0.1,1.37393,8.23843,8.63091,0.633665
1.26212,0.302562;10.0,1.70366,0.87823,0.132374,0.1,6.9266,7.57274,6.86615,7.28821,0.1
1.26812,0.302476;10.0,1.70366,0.87823,0.1,0.1,8.76761,10.0,8.43431,10.0,0.1
1.27173,0.302529;10.0,1.70366,2.42232,1.32862,0.171829,10.0,10.0,8.43431,10.0,0.1
1.27753,0.300179;0.656944,0.1,0.590612,0.374081,0.1,0.326941,0.1,4.55433,10.0,0.351605
1.28306,0.300937;10.0,1.70366,0.87823,0.145532,0.1,8.76761,7.57274,6.86615,10.0,0.1
1.28713,0.301185;0.614232,0.1,0.1,0.1,0.272454,0.1,0.1,2.72553,5.08932,0.1
1.29208,0.303801;5.81133,1.76141,0.121586,0.172934,0.1,10.0,3.23878,0.1,10.0,1.53672
1.29414,0.303012;10.0,1.64005,0.1,0.1,0.1,10.0,0.1,0.127272,10.0,0.267874
1.30059,0.301597;10.0,2.2754,0.1,0.1,10.0,10.0,1.42471,10.0,10.0,0.206614
1.30899,0.30188;10.0,1.77029,1.11961,0.476814,0.1,0.1,1.88636,10.0,10.0,0.1
1.31131,0.304022;2.69029,0.848163,0.1,0.1,1.04186,2.25905,10.0,10.0,1.94825,0.1
1.3159,0.303021;10.0,10.0,0.1,10.0,3.64636,8.99175,0.1,0.19561,1.29473,0.705737
1.3227,0.301721;0.338425,0.1,0.146847,0.796342,0.396332,0.1,6.38193,10.0,4.943,0.159714
1.32783,0.302842;10.0,2.38195,0.286254,5.85404,10.0,10.0,0.1,10.0,10.0,0.131448
1.33173,0.303116;7.22674,2.5891,0.1,0.1,0.1,2.10894,0.1,0.1,0.512495,0.1
1.33724,0.302414;10.0,4.34141,10.0,0.1,0.107028,10.0,0.1,0.1,1.58999,0.234999
1.34052,0.300585;10.0,1.65941,0.1,0.560524,0.164196,10.0,0.1,0.367163,10.0,0.1
1.34927,0.302261;10.0,1.74637,0.1,2.11199,0.1,10.0,2.05913,0.1,7.95467,0.1
1.35046,0.304163;10.0,2.07369,1.01085,0.1,1.15564,0.1,0.1,10.0,10.0,0.1
1.35715,0.300864;0.622333,0.1,0.1,0.844249,0.1,0.22976,0.1,3.24251,8.44712,0.186248
1.36237,0.303378;10.0,2.07369,0.726629,0.1,0.1,0.138717,1.05604,9.94854,10.0,0.1
1.37006,0.302849;6.90677,1.45261,2.01113,3.63798,1.7942,0.578832,0.134275,10.0,10.0,0.589752
1.37498,0.303363;0.6507,0.162592,0.1,0.1,0.1,2.0714,10.0,10.0,10.0,0.110271
1.378,0.3019;6.90677,1.33908,2.01113,3.63798,1.7942,0.578832,0.1,10.0,10.0,0.392368
1.38469,0.303361;10.0,2.2938,0.205448,0.1,0.442052,10.0,0.322892,0.1,7.11808,0.284979
1.38737,0.299993;10.0,2.2938,0.205448,0.1,0.526745,10.0,0.322892,0.1,7.11808,0.284979
1.39237,0.302647;10.0,2.15619,0.465202,0.835213,0.343102,0.151072,0.848193,10.0,10.0,0.226655
1.40012,0.301943;1.76827,0.82881,0.221841,0.174859,0.196485,1.27639,0.1,0.175739,0.474091,0.11942
1.4025,0.301123;10.0,2.2938,0.220983,0.1,0.204759,10.0,0.458365,0.1,7.11808,0.236769
1.40908,0.303489;10.0,2.2938,0.220983,0.1,0.252012,10.0,0.458365,0.268854,7.11808,0.201145
1.41294,0.301415;9.46715,2.15619,0.465202,0.835213,0.251602,0.151072,0.848193,10.0,10.0,0.271025
1.41861,0.300442;0.669767,0.160701,0.1,0.1,0.140569,2.04221,0.302396,0.1,3.52115,0.1
1.42072,0.305198;9.10802,2.20114,1.0978,0.198806,0.1,0.1,0.192524,10.0,10.0,0.166058
1.42527,0.30213;10.0,2.15619,0.465202,0.835213,0.1,0.1,0.612267,10.0,10.0,0.1
1.4335,0.304483;10.0,2.28589,0.827474,10.0,0.1,0.1,1.92872,10.0,10.0,0.106972
